InvoiceID,Branch,City,Category,Unit_Price,Quantity,Date,Time,Payment_Method,Rating,Profit_Margin,Total_Revenue,Profit,profit_per_unit,Year,Month,DayOfWeek,Day
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-01-05,13:08:00,Ewallet,9.1,0.48,522.8299999999999,250.95839999999995,35.85119999999999,2019,1,5,5
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-03-08,10:29:00,Cash,9.6,0.48,76.39999999999999,36.672,7.3344,2019,3,4,8
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,13:23:00,Credit card,7.4,0.33,324.31,107.0223,15.2889,2019,3,6,3
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,465.76,153.70080000000002,19.212600000000002,2019,1,6,27
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-02-08,10:37:00,Ewallet,5.3,0.48,604.1700000000001,290.0016,41.4288,2019,2,4,8
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,597.73,286.9104,40.987199999999994,2019,3,0,25
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,413.04,136.3032,22.717200000000002,2019,2,0,25
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,735.6,132.408,13.240799999999998,2019,2,6,24
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-01-10,17:15:00,Credit card,7.2,0.33,72.52,23.9316,11.9658,2019,1,3,10
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,13:27:00,Credit card,5.9,0.33,164.52,54.2916,18.0972,2019,2,2,20
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-02-06,18:07:00,Ewallet,4.5,0.48,57.92,27.8016,6.9504,2019,2,2,6
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-03-09,17:03:00,Cash,6.8,0.48,102.04,48.9792,12.2448,2019,3,5,9
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-02-12,10:25:00,Ewallet,7.1,0.48,234.75,112.67999999999999,22.535999999999998,2019,2,1,12
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-02-07,16:48:00,Ewallet,8.2,0.48,431.9,207.31199999999998,20.731199999999998,2019,2,3,7
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,713.8,342.62399999999997,34.2624,2019,3,4,29
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,562.3199999999999,269.9136,44.9856,2019,1,1,15
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-03-11,11:03:00,Credit card,4.6,0.48,482.51000000000005,231.6048,33.086400000000005,2019,3,0,11
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,10:39:00,Credit card,6.9,0.33,435.65999999999997,143.7678,23.961299999999998,2019,1,1,1
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,18:00:00,Credit card,8.6,0.57,164.01,93.48569999999998,31.161899999999992,2019,1,0,21
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-03-11,15:30:00,Ewallet,4.4,0.48,80.6,38.687999999999995,19.343999999999998,2019,3,0,11
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,430.20000000000005,206.496,41.2992,2019,2,0,25
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-03-05,10:40:00,Ewallet,5.1,0.33,263.94,87.1002,29.0334,2019,3,1,5
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,12:20:00,Credit card,4.4,0.33,66.4,21.912000000000003,10.956000000000001,2019,3,4,15
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,172.8,57.02400000000001,11.404800000000002,2019,2,6,17
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-03-02,17:36:00,Ewallet,6.0,0.48,265.89,127.62719999999999,42.542399999999994,2019,3,5,2
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,19:20:00,Credit card,8.5,0.36,420.72,151.4592,18.9324,2019,3,4,22
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-02-08,15:31:00,Cash,6.7,0.33,33.52,11.061600000000002,11.061600000000002,2019,2,4,8
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-03-10,12:17:00,Credit card,7.7,0.48,175.34,84.1632,42.0816,2019,3,6,10
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,441.8,212.064,42.4128,2019,1,4,25
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,224.01,73.9233,8.2137,2019,3,4,15
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,19:39:00,Credit card,4.8,0.33,470.65,155.3145,31.062900000000003,2019,2,0,25
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,702.6299999999999,126.47339999999997,14.052599999999996,2019,1,0,28
33,WALM021,Mcallen,Sports and travel,83.78,8.0,2019-01-10,14:49:00,Cash,5.1,0.48,670.24,321.7152,40.2144,2019,1,3,10
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,10:12:00,Credit card,5.1,0.18,193.16,34.7688,17.3844,2019,3,4,15
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-02-06,10:42:00,Ewallet,7.5,0.48,397.68,190.8864,47.7216,2019,2,2,6
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-01-07,12:28:00,Ewallet,6.8,0.33,68.12,22.4796,22.4796,2019,1,0,7
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-03-10,19:15:00,Ewallet,7.0,0.48,313.09999999999997,150.28799999999998,30.057599999999997,2019,3,6,10
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,17:17:00,Ewallet,4.7,0.33,547.9200000000001,180.81360000000004,20.090400000000002,2019,1,1,15
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,13:24:00,Ewallet,7.6,0.33,439.36,144.9888,18.1236,2019,3,5,23
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,13:01:00,Cash,7.7,0.48,240.96,115.6608,14.4576,2019,3,6,3
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,18:45:00,Ewallet,7.9,0.48,86.72,41.6256,41.6256,2019,1,3,17
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,10:11:00,Cash,6.3,0.33,112.22,37.0326,18.5163,2019,2,5,2
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-02-08,13:03:00,Cash,5.6,0.33,414.72,136.85760000000002,22.809600000000003,2019,2,4,8
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-03-04,20:39:00,Cash,7.6,0.48,789.6,379.008,47.376,2019,3,0,4
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,19:47:00,Cash,7.2,0.48,30.74,14.755199999999999,7.377599999999999,2019,3,5,16
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-03-09,18:00:00,Cash,9.5,0.33,375.84,124.0272,31.0068,2019,3,5,9
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,17:24:00,Credit card,8.4,0.33,510.21,168.3693,18.707700000000003,2019,2,2,27
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-02-06,15:47:00,Ewallet,4.1,0.48,180.09,86.4432,9.604800000000001,2019,2,2,6
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-02-10,12:45:00,Credit card,8.1,0.33,113.58,37.4814,6.2469,2019,2,6,10
